QUEST_20150317_000001	請選擇使用者需要任務更新.
QUEST_20150401_001729	{memo X}
QUEST_20150401_001730	{memo X}
QUEST_20150401_001731	星光燈
QUEST_20150401_001732	{memo X}
QUEST_20150401_001733	{memo X}
QUEST_20150401_001734	{memo X}
QUEST_20150401_001735	這是壞掉. {nl}再拿過吧.
QUEST_20150401_001736	哦，那惡臭。首先把它扔掉，然後再回來。
QUEST_20150401_001737	{memo X}
QUEST_20150401_001738	{memo X}
QUEST_20150401_001739	{memo X}
QUEST_20150401_001740	{memo X}
QUEST_20150401_001741	他似乎暈了。是不是藥物生效了?
QUEST_20150401_001742	好像飢餓就走了。
QUEST_20150401_001743	現在你想必是滿腹的疑問。問吧, Revelator…
QUEST_20150401_001744	Vakarine is fighting Valtrus in the Demon Prison across the portal. {nl}She won't be able hold it for much longer unless someone helps.
QUEST_20150401_001745	{memo X}
QUEST_20150401_001746	{memo X}
QUEST_20150401_001747	{memo X}
QUEST_20150401_001748	Royal Mausoleum Construction Fee
QUEST_20150401_001749	{memo X}
QUEST_20150401_001750	{memo X}
QUEST_20150401_001751	{memo X}
QUEST_20150401_001752	{memo X}
QUEST_20150401_001753	{memo X}
QUEST_20150401_001754	{memo X}
QUEST_20150401_001755	{memo X}
QUEST_20150401_001756	{memo X}
QUEST_20150401_001757	Those who truly understand the words will be enlightened. {nl}If you're ever lost, shout his name and you'll find the way.
QUEST_20150401_001758	{memo X}
QUEST_20150401_001759	未知水晶.
QUEST_20150401_001760	Entrapped force of the spell is released.
QUEST_20150401_001761	The crystal is empty because the seal was released.
QUEST_20150401_001762	Sealing the spell.
QUEST_20150401_001763	The powerful spell can be suppressed using a fragment of the Spell Suppressing Crystal. 
QUEST_20150401_001764	惡魔領主 Naktis
QUEST_20150401_001765	You have been running around hard in my land. {nl}Sorry, kid, but my name calls for the curse.
QUEST_20150401_001766	{memo X}
QUEST_20150401_001767	{memo X} (原文缺)
QUEST_20150401_001768	Reconstruction of Blessings
QUEST_20150406_001769	{memo X}
QUEST_20150406_001770	然後給我 1,000 銀幣. I'm in a tight spot here too.
QUEST_20150406_001771	我非常抱歉，但我希望你明白。
QUEST_20150406_001772	然後，我和你沒有生意
QUEST_20150406_001773	你比我更慘。
QUEST_20150406_001774	Even more pathetic than I am… Take it.
QUEST_20150406_001775	這是什麼? 
QUEST_20150406_001776	但你是一個新面貌. {nl}Do you have anything to prove that you're Horacius' colleague?
QUEST_20150406_001777	怪不得！他在這裡。
QUEST_20150406_001778	I can't just give my precious farming tools to someone so suspicious!
QUEST_20150406_001779	Huh? 為什麼我要信你? 
QUEST_20150406_001780	{memo X}
QUEST_20150406_001781	Is Horacius really okay?
QUEST_20150406_001782	我不知道你是誰，但我非常忙碌。
QUEST_20150406_001783	What happens if it fails? 
QUEST_20150406_001784	If it's just that then I'll cooperate. {nl}Will farming tools be enough? 
QUEST_20150406_001785	Of course I should give them. {nl}這將是成功的。
QUEST_20150406_001786	難道這還不夠？
QUEST_20150406_001787	Necklace of Shaton
QUEST_20150406_001788	I found an old, blood stained necklace. Could this be Shaton's son's necklace? 
QUEST_20150406_001789	This machine can process crystal fragments. {nl}Which item would you like to process? 
QUEST_20150406_001790	Memo
QUEST_20150406_001791	If you resonate the crystals a bit, you'll hear a beautiful melody.
QUEST_20150406_001792	Caution: This area is a rockslide zone!
QUEST_20150406_001793	Machine of Riddles
QUEST_20150406_001794	{memo X}
QUEST_20150406_001795	{memo X}
QUEST_20150406_001796	{memo X}
QUEST_20150406_001797	Did you really think you could fool me that easily? {nl}Send my regards to Vakarine.
QUEST_20150406_001798	{memo X}
QUEST_20150406_001799	{memo X} (原文缺)
QUEST_20150406_001800	失落的魔法圈
QUEST_20150414_001801	你想知道什麼? 
QUEST_20150414_001802	Receptionist Ramda
QUEST_20150414_001803	{memo X}
QUEST_20150414_001804	{memo X}
QUEST_20150414_001805	{memo X}
QUEST_20150414_001806	這是正確. {nl}The 祭壇 will move again.
QUEST_20150414_001807	Box of Legwyn Family
QUEST_20150414_001808	{memo X}
QUEST_20150414_001809	Tesla's Dedication
QUEST_20150414_001810	{memo X}
QUEST_20150414_001811	Ugh. 你怎麼能夠吃那個? You should bring ones that aren't spoiled.
QUEST_20150414_001812	Good, good. The purification is going well. {nl}歡迎到我的領地, Revelator. 
QUEST_20150414_001813	The purification? Ah… yes, it's ongoing. {nl}This is all for the farmers as long as that engine works well.
QUEST_20150414_001814	This old man wants just one thing: {nl}beauty, everlasting beauty…
QUEST_20150414_001815	Ah, I'm referring to the engine and purification. 
QUEST_20150414_001816	This machine takes too many crops. {nl}You can say it was kept because of my prestige and morality.
QUEST_20150414_001817	Haven't you seen the weird aura around the farm? {nl}That's what's corrupting the farm.
QUEST_20150414_001818	The spell device is used to suppress the aura by using the magic circles to purify the farm. {nl}It's all the genius of Rimas.
QUEST_20150414_001819	Anyway, when will the search team be back from the restricted area?
QUEST_20150414_001820	Ah, you're still here. {nl}Take your time and look around.
QUEST_20150414_001821	If we fail… Then what will happen to us? 
QUEST_20150414_001822	The farm rent has become a problem. People aren't generous any more. 
QUEST_20150414_001823	這可不是鬧著玩的。
QUEST_20150414_001824	{memo X}
QUEST_20150414_001825	{memo X}
QUEST_20150414_001826	The Baron's greed had him send his men into this area. {nl}None of them made it back.
QUEST_20150414_001827	I watched everything through the eyes of this wizard. {nl}Even the screams of Vakarine and her Kupoles. 
QUEST_20150414_001828	That depends on whether or not you have the will to save the 女神. {nl}We can take time later to talk about it. 
QUEST_20150414_001829	Isn't there a more effective way to block the monsters?
QUEST_20150414_001830	Freshly cultivating the farm isn't easy though at least there are less monsters than before.
QUEST_20150414_001831	{memo X}
QUEST_20150414_001832	Many loved ones would have been lost if not for you. {nl}Why would someone do such a thing?
QUEST_20150414_001833	I'm sure it's a monster behind a man's mask. {nl}Spreading poison? Evoniphon? I'll remember that.
QUEST_20150414_001834	Weird things happen when you try to cultivate a new farm. {nl}Though nowadays it's even weirder if nothing happens. 
QUEST_20150414_001835	I didn't think we'd lack manpower since we're close to Klaipeda. Guess that was a mistake on my part. {nl}Well, at least we have enough soldiers to fight the large monsters.
QUEST_20150414_001836	Guarding the farm is tiring enough. {nl}How much time do the soldiers need to explore the Thorn Forest? 
QUEST_20150414_001837	One or two monsters I can handle just fine. {nl}But, I don't think I can handle an entire flock though.
QUEST_20150414_001838	I'm standing guard here. {nl}It's better than the Eastern Woods since there are less monsters{nl}but it isn't exactly easy.
QUEST_20150414_001839	My colleagues' faces turned pale and they ran away. What's going on? 
QUEST_20150414_001840	A Gorgon? Holy… I think I've seen one.
QUEST_20150414_001841	A tremendous monster was sighted here. Have you seen it? 
QUEST_20150414_001842	It's a bit dubious, a monster hiding in a dead end like this. {nl}I can't just ignore the report though…
QUEST_20150414_001843	Crops from here will be brought to Klaipeda. {nl}I heard the farm has been corrupted with an evil energy.
QUEST_20150414_001844	The farm's cultivation just started so I'm the only one who received farmland. {nl}I wonder when they'll cultivate the whole area like this. 
QUEST_20150414_001845	You defeated the Gorgon? {nl}Wow, Revelators must be some sort of superhuman.
QUEST_20150414_001846	One wrong move and we could've been wiped out. {nl}It feels like the 女神 has returned and is keeping us safe. 
QUEST_20150414_001847	I could have fought more but my colleagues ran away. {nl}I can take those monsters anytime…
QUEST_20150414_001848	Next time, I'll fight at the front line. {nl}I'm sure I can take it down. 
QUEST_20150414_001849	It would have been dangerous if you weren't around. {nl}Such a big monster near Klaipeda…
QUEST_20150414_001850	Gatus, he was the first to run away but he loves to bluff… {nl}
QUEST_20150414_001851	How could Gytis lie to us? {nl}He said there were only gentle monsters. 
QUEST_20150414_001852	Alan's worse. {nl}He should have correctly said it was Gorgon.
QUEST_20150414_001853	I saw your fight as I ran away and it was spectacular. {nl}Do you fight these kinds of monsters often? 
QUEST_20150414_001854	I really envy you. {nl}I could be a good soldier too if I had your abilities. 
QUEST_20150414_001855	我覺得不舒服… Ugh…
QUEST_20150414_001856	我還是覺得不舒服，但已經好點了。 {nl}非常感謝你。
QUEST_20150414_001857	You brought the medicine for us? {nl}Thank you. The 女神 will surely bless you. 
QUEST_20150414_001858	Hm… Is the antidote ready yet…?
QUEST_20150414_001859	救我…
QUEST_20150414_001860	If it weren't for you, I'd be meeting the 女神 right now. {nl}Thank you very much.
QUEST_20150414_001861	I lost consciousness on something weird that I then knew was poison. {nl}That pain… I don't ever want to think about it again. 
QUEST_20150414_001862	救命… 我感覺要死了…
QUEST_20150414_001863	Thank you for saving us. {nl}I was sure we were dead.
QUEST_20150414_001864	I suddenly felt hot and… I don't remember anything after that. {nl}Evoniphon? Never heard of it. 
QUEST_20150414_001865	我的胃感覺在燃燒…
QUEST_20150414_001866	{memo X}
QUEST_20150414_001867	{memo X}
QUEST_20150414_001868	{memo X}
QUEST_20150414_001869	{memo X}
QUEST_20150414_001870	Be prepared. We are establishing a new base.
QUEST_20150414_001871	We will make a home here, a world where both demons and humans meet.
QUEST_20150414_001872	We shall break the wings of the 女神 and destroy all the barriers.
QUEST_20150414_001873	Let us expand our forces starting from here.
QUEST_20150414_001874	這將是我們的土地。
QUEST_20150414_001875	來找我，如果你有什麼問題要問。
QUEST_20150414_001876	{memo X}
QUEST_20150414_001877	I don't like Fiona and wonder why she's the Hunter 導師. {nl}But, if we need her to defeat Evoniphon, I'm fine with allying with her.
QUEST_20150414_001878	Cured Tenant Farmer
QUEST_20150414_001879	You saved my life. I still feel sick… I am very grateful to you!
QUEST_20150414_001880	If the grapes keep turning out this way, I'm leaving Shaton Farm. {nl}I don't want to feel this kind of pain any more.
QUEST_20150414_001881	I thought the poison would burn my body. {nl}Thank you very much for saving me.
QUEST_20150414_001882	Warehouse Keeper Rita
QUEST_20150414_001883	歡迎! {nl}我有什麼可以幫到你?
QUEST_20150414_001884	你不應該相信這裡任何人. Not the 女神 and not even yourself.
QUEST_20150414_001885	惡魔領主 Hauberk, the 女神 does not wish to fight you. {nl}Cease your hostile actions at once.
QUEST_20150414_001886	Prepare to make the Key of the Night Star. {nl}快點，我們沒有太多的時間。 I'll be sending the Revelator soon.
QUEST_20150414_001887	我的靈魂是我的，只是我的！
QUEST_20150414_001888	{memo X}
QUEST_20150414_001889	Right. Now I understand… {nl}The plan was to close the dimensional crack with the power of my soul?
QUEST_20150414_001890	Give me the power, Revelator. {nl}It is power that only the 女神 should take care of.
QUEST_20150414_001891	Receptionist Brandon
QUEST_20150428_001892	The information to share with you is not getting gathered.
QUEST_20150428_001893	{memo X}
QUEST_20150428_001894	You can get to the other end by using the cable car.
QUEST_20150428_001895	{memo X}
QUEST_20150428_001896	{memo X}
QUEST_20150428_001897	Okay… Let me see the completed jewel you put so much effort into making. {nl}I don't know about you but I really like it, huhuhu…
QUEST_20150428_001898	被撕毀的信
QUEST_20150428_001899	被撕開的日記
QUEST_20150428_001900	最後記錄
QUEST_20150428_001901	被遺棄的日記
QUEST_20150428_001902	The 女神 left many things to the first Paladin: {nl}The threat of the Demon Queen, Gesti, and the mission to protect. {nl}She also mentioned that the Savior would come.
QUEST_20150428_001903	{memo X}
QUEST_20150428_001904	You can feel the fading existence around.
QUEST_20150428_001905	Beings that were once invisible are starting to appear…
QUEST_20150428_001906	現在沒有回覆.
QUEST_20150428_001907	祭壇已經在啟動.
QUEST_20150428_001908	The candlestick is already lit.
QUEST_20150428_001909	You will need something to light it with…
QUEST_20150428_001910	It seems that it is reacting to something lightly.
QUEST_20150428_001911	祭壇是缺少了一些東西去啟動.
QUEST_20150428_001912	你感覺到很巨大的能量由祭壇而來.
QUEST_20150428_001913	你感到一種未知的力量。
QUEST_20150428_001914	The monsters weaken as the eerie shadow disappears.
QUEST_20150428_001915	Looks like it can't absorb any more.
QUEST_20150428_001916	You feel like you're being sucked into the light…
QUEST_20150428_001917	{memo X}
QUEST_20150428_001918	難民丈夫
QUEST_20150428_001919	難民妻子
QUEST_20150428_001920	這是非常幸運的。 {nl}Shall we return to the village?
QUEST_20150428_001921	Will
QUEST_20150428_001922	{memo X}
QUEST_20150428_001923	Blackened Clue
QUEST_20150428_001924	{memo X}
QUEST_20150428_001925	The Diary that was Written in Anger
QUEST_20150428_001926	{memo X}
QUEST_20150428_001927	有皺褶的信
QUEST_20150428_001928	Maven's teaching is ruined by the curse. {nl}Sinful Naktis. May the curse come upon you as well!
QUEST_20150428_001929	{memo X}
QUEST_20150428_001930	Arune 的日記
QUEST_20150428_001931	Circumstances have changed. {nl}The demons needed more life energy for the Divine Tree.
QUEST_20150428_001932	They'll destroy and ravage more lives and then absorb them into the Divine Tree. {nl}We can never forgive them. {nl}They themselves should be returned to the Divine Tree.
QUEST_20150428_001933	Sigita 的日記
QUEST_20150428_001934	The demons' filthy bodies fall lifelessly on the wet ground of the Demons' Prison. {nl}They are against us and want to return it to one status.
QUEST_20150428_001935	The vicious energy they release wouldn't disappear without any of the divine power's intervention.
QUEST_20150428_001936	The Command Letter of Ausrine
QUEST_20150428_001937	We will lock those who oppose us in the isolated place between two worlds.
QUEST_20150428_001938	Unknown Adventurer's Diary
QUEST_20150428_001939	The house of the family cursed with revenge and slaughter welcomed us. {nl}As we stepped into the house, the tangled vines grasped our knees.
QUEST_20150428_001940	We released the seals as we defeated the monsters. {nl}The treasures of Legwyn Family are hidden somewhere in this house… {nl}We will find them. 
QUEST_20150428_001941	Beikeol's Reply
QUEST_20150428_001942	{memo X}
QUEST_20150428_001943	{memo X}
QUEST_20150428_001944	{memo X}
QUEST_20150428_001945	採購訂單
QUEST_20150428_001946	As requested, I am sending you the roots of the aconites that we harvested this spring. {nl}They can make stomachaches, dizziness, and pain go away.
QUEST_20150428_001947	One more thing. Do not consume too much at once, it could be fatal. {nl}Doses should be smaller than the size of a nail and consumed after being melted in liquor.
QUEST_20150428_001948	Watcher's Epitaph
QUEST_20150428_001949	As the wind sways, as the leaves fall down. {nl}If falling down, then as falling down. {nl}When I sing my song, the night would come and the sun would go down.
QUEST_20150428_001950	He rests here after fighting against the herd of evil with the first Paladin.
QUEST_20150428_001951	Born as a son of a Watcher. Completed the construction of 泰耐特 Chapel. He rests here.
QUEST_20150428_001952	Mother, please don't cry. {nl}I am finally free of the curse.
QUEST_20150428_001953	Finally, you sleep like you are at your mother's house. {nl}You don't have to worry about the pain any more. {nl}You don't have to wait for the salvation from the 女神.
QUEST_20150428_001954	In the touch of the 女神. Beside the mother. {nl}Sleeping. Having a sleep. {nl}Me, who is not beside, getting lean and hardened like a winter tree.
QUEST_20150428_001955	The sons of the Watchers rest here.
QUEST_20150428_001956	The Grass of King Zachariel
QUEST_20150428_001957	The king told those who engraved the letters and the symbols onto the hard woods {nl}to abstain from sin, but they lost their memories as the king ordered. {nl}I did it because I was afraid that the demons and the people with malicious intent may steal my artifacts. {nl}However, I don't want to repeat that for my people.
QUEST_20150428_001958	(這本書已經腐朽了這麼多，裡面什麼都沒有可以讀出。)
QUEST_20150428_001959	The minister said, {nl}'We already heard the words of His Majesty. {nl}We don't know exactly why, but the reason this royal tomb was built was not to show off, {nl}but to prepare for the forecast that may bring chaos to the kingdom and change the future of the humans. {nl}If we don't do this important task, who will?'
QUEST_20150428_001960	警告標誌給非法入境者
QUEST_20150428_001961	To protect the sacred secret of King Zachariel, no one may enter this facility.
QUEST_20150428_001962	Anyone entering here unauthorized will be punished for their sin.
QUEST_20150428_001963	The Order to Move Out
QUEST_20150428_001964	This facility will soon be shut down. {nl}I ask all construction workers and related people of the royal tomb to move out.
QUEST_20150428_001965	Baron Soldier Chagos's Diary
QUEST_20150428_001966	The magician, who appeared from somewhere, told the ignorant baron that the object is located here.
QUEST_20150428_001967	The way to eternal youth. {nl}I can't find the way there: the place where only death awaits.
QUEST_20150428_001968	搖搖欲墜的文件
QUEST_20150428_001969	惡魔領主 Helgasercle, divided the spirit of the 惡魔領主 Hauberk. {nl}This was used to power the barrier that now surrounds the Mage Tower and then was scattered throughout the kingdom.
QUEST_20150428_001970	Many magicians came to break the barrier, but they could not succeed with just the foundations stones that were gathered at the tower.
QUEST_20150428_001971	To all adventurers of the kingdom, {nl}the Mage Tower offers gold to those who bring back the fragments of Hauberk's spirit.
QUEST_20150428_001972	命令去打敗惡魔
QUEST_20150428_001973	I hereby order in the name of Vakarine! {nl}聖樹之日之後, 他們再也不能被原諒. {nl}They are trying to expand their power by penetrating into the crack that was created in the barrier.
QUEST_20150428_001974	All the Kupoles here shall defeat Demon Lords Boolut, Nuaele, and Baltrus first. {nl}The enemy will panic without their commanders and will be easier to defeat.
QUEST_20150428_001975	Kupoles who can't attack should concentrate on blocking the crack. {nl}We can't allow more demons from going to the Demon Lords.
QUEST_20150428_001976	我應該怎樣從現在開始生活？ {nl}我應該搬到 Klaipeda.
QUEST_20150428_001977	{memo X}
QUEST_20150428_001978	Mirtis' power was so overwhelming that Cunningham had to make an important decision.
QUEST_20150428_001979	{memo X}
QUEST_20150428_001980	{memo X}
QUEST_20150428_001981	{memo X}
QUEST_20150428_001982	{memo X}
QUEST_20150511_001983	It's better to use the cable car than to fight through the monsters.
QUEST_20150511_001984	Just don't believe everything he says. {nl}He was known for being quite the show-off back at home.
QUEST_20150511_001985	It would be nice if all these Revelators being here meant that the 女神 are back.
QUEST_20150511_001986	力量是對劍士非常重要的屬性. {nl}You could also train yourself to be agile and possess strong stamina. {nl}You should take a moment to decide on what to prioritize from now on.
QUEST_20150511_001987	力量是對弓箭手非常重要的屬性. {nl}But, of course you can't ignore agile movement. {nl}You should take a moment to decide on what to prioritize from now on.
QUEST_20150511_001988	智力是對牧師非常重要的屬性. {nl}But sometimes you may need more strength or a stronger spirit. {nl}You should take a moment to decide what to prioritize from now on.
QUEST_20150511_001989	Helping reconstruct Fedimian may be more meaningful than pottery. {nl}But people need something to soothe their hearts.
QUEST_20150511_001990	If I had the journal, I could continue my adventure, but I wasn't chosen… {nl}But for you things might be different…
QUEST_20150511_001991	{memo X}
QUEST_20150511_001992	I'll report the damages. {nl}Chasing a Sparnas, a gigantic bird-type creature, will be hard. Despite being large, they are rather agile. {nl}It usually goes after the supplies, but I can't imagine nor find out why. I'm guessing someone's playing a trick.
QUEST_20150511_001993	Grain pocket was discovered in the ashes of the supplies. {nl}They smell so bad and old they can't be used for food at all. {nl}Please check the supplies for anything missing.
QUEST_20150511_001994	Defeat all the monsters nearby. {nl}The vicious energy in the thorn forest is constantly creating new monsters. {nl}But you should first defeat most of them before you face Ironbaum. {nl}Even a small factor could ruin the big task. {nl}Also, you could try threatening the monsters so they can't do what they want to do.
QUEST_20150511_001995	(Everything is scribbled so poorly that they can't be distinguished from letters or drawings.)
QUEST_20150511_001996	The facility that belonged to the workers who worked on the Mausoleum of Zachariel suddenly shut down. {nl}It's not like they left because finishing it was hopeless, but they just vanished all at once. {nl}Maybe it is related to the irregularly big size of the tomb and its complicated composition {nl}even after considering the fact that it was the grave to commemorate the greatest king in history.
QUEST_20150511_001997	King Zachariel had made many arrangements for future generations. {nl}We and the Jonas family were one of them. {nl}But the meaning of the arrangements is only known by the 女神. {nl}At least we know that the will of the king that we are protecting and the secret of the tomb indicates one person.
QUEST_20150511_001998	Trees become bigger as years pass. {nl}There are only Woodmen here but when you think of the large trees or the trees that stand in the old capital city… {nl}You can't help but think of the existence of even larger trees. {nl}After the disaster occurred, many plants turned into monsters so we can't ever rule out that possibility.
QUEST_20150511_001999	{memo X}
QUEST_20150511_002000	We never know when they'll release spores. If we don't stop them, the entire camp could be annihilated. {nl}I have no way to keep safe from the spores. I can't stop coughing…
QUEST_20150511_002001	The training officer completed the training at the camp in the woods of the attached bridge, in accordance with the order to prepare for future disasters. {nl}I hereby grant this certificate. 
QUEST_20150511_002002	The Mausoleum of Zachariel has never allowed anyone entry. {nl}If the object was not for the world to know of, then we could've hidden it so that none could find it, but instead we just built a giant tomb to protect it.{nl}Is this the great king's conceit or does it hold a different meaning?
QUEST_20150511_002003	For the first step: recharge the magical essence I gave to you. Look for where magic is condensed at Pavydo Mixed Forest. {nl}You won't be able to use the magical essence right away, however, since it has also absorbed some malign energy. {nl}For that, you'll need to collect Operor saliva and purify it at the 祭壇 of purification at the Wasteland of Renistu.
QUEST_20150511_002004	Name: High Raven{nl}Sex: Male{nl}Occupation: Merchant{nl}List of items: luxurious goods, weapons {nl}{nl}In accordance with kingdom laws, you may enter.
QUEST_20150511_002005	If you're seeing this you either didn't pay me in full or did something I told you not to do. {nl}I have cursed this letter. {nl}I've no idea what's gonna happen to you from now on, but know that my curse is absolute.
QUEST_20150511_002006	The one who fell while researching. {nl}Return to the 女神 by becoming a part of the canyon. {nl}The saddened mind breaks the gold stones of the canyon and the poured alcohol soaks into the ground on behalf of the tears.
QUEST_20150511_002007	Eventually, Ruklys had failed. {nl}He was destroyed and broken by those who were jealous of him. {nl}He left the 女神 in my hands. {nl}
QUEST_20150511_002008	Every object possess the inner strength of its possessor. {nl}And to add to the magical interpretations on that, they could also transform the shapes of their possessors. {nl}Objects belonging to demons could do it with relative ease. (The same applies to the sacred areas, but don't even dare doing that in those places.)
QUEST_20150511_002009	But that's still just a theory despite the efforts of many frontiers. {nl}The possessor's inner strength and interpretations can never be fully understood if it were not for the possessor himself. {nl}That's why we hope for the blessing from the 女神 or the wisdom from the possessor for the knowledge we lack.
QUEST_20150511_002010	I shall name you Revelator, my representative sent out to seek help from others. {nl}We can't be deceived any more. {nl}We have to protest against the violence behind the mask that claims to protect us.
QUEST_20150511_002011	We believe your help is the main factor to our success so that our efforts will not have been in vain.
QUEST_20150511_002012	We've finally arrived in front of the Zachariel's Mausoleum. {nl}He was the first king of this kingdom and used an enormous number of people to build it. {nl}I believe only this place can answer the question I've had in my mind for a long time.
QUEST_20150511_002013	What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the inside exudes makes me hesitate to go in.
QUEST_20150511_002014	There's something inside the dark tomb.{nl}As I advanced inside, the large stone statues all turned to look down at me and then chased me out. {nl}I guess the great king in the past is still the great king in the present. {nl}I better investigate from the pillar outside of the Royal Mausoleum.
QUEST_20150511_002015	With the help from a young, kind historian, I was able to find a big clue. {nl}Yes. The best place to hide a tree is in a forest. {nl}Ruko Plateau and the King's Plateau… I'm so close I can almost touch it. {nl}I'm confident the 女神 sent him to me. May the blessing of the 女神 always be with us!
QUEST_20150511_002016	Some pillars unlock the tomb and some 祭壇 lock it. {nl}The magical energy that surrounds the tomb moves by the key. {nl}But none can be that key. {nl}We are not chosen.
QUEST_20150511_002017	The curse disturbs the rules of the universe that are being controlled by the 女神 through human greed. {nl}These rules in the human world get influenced by the personalities of each person, their abilities and their potential power. {nl}The cases when these abilities get released depend on the conditions above.
QUEST_20150511_002018	According to the old writing left on the Great Cathedral, that is using a small part of the 女神' abilities secretly. {nl}Some people say that after seducing the weak minds of people, the demons used them for the source of the curse. {nl}May the 女神 bless!
QUEST_20150511_002019	There are two ways to release the curse: {nl}Remove the curse using a greater power or eliminate its caster. {nl}
QUEST_20150511_002020	Removing the curse using a greater power: {nl}This way depends on whether the power that overwhelms the curse comes from good or evil and from darkness or light.{nl}{nl}The most important factor for eliminating the caster: {nl}Even after eliminating the caster, the curse may not be removed due to other factors.{nl}{nl}I have no doubt that the power of the 女神 is stronger.
QUEST_20150511_002021	There are mainly two ways to spread the curse. {nl}First, using equipment and uttering simple words. It sounds easy but it is, in fact, the hardest way. {nl}Therefore, from the example of the Pilgrim Path, we mainly use the cursed ones as the mediums to spread the curse.
QUEST_20150511_002022	When a caster makes a curse, the caster has a tremendous influence on the mind of the victim. Their ego usually can't endure the feeling of guilt this causes. {nl}It seems the magic that was used on the cursed city of Ruklys is of a higher level than the one used on Naktis. We need to look into it more.
QUEST_20150511_002023	Varkis' Complete Research Materials
QUEST_20150511_002024	The First Research Material{nl}-{nl}We've finally arrived in front of the Great King Zachariel's Royal Mausoleum. {nl}He was the first king of this kingdom and used an enormous number of people to build it.{nl}I believe only this place can answer the question I've had in my mind for a long time.
QUEST_20150511_002025	What was he trying to protect with this gigantic tomb? {nl}The answer must be inside, but the bleak atmosphere the inside exudes makes me hesitate to go in.
QUEST_20150511_002026	The Second Research Material{nl}-{nl}There's something inside the dark tomb.{nl}As I advanced inside, the large stone statues all turned to look down at me and then chased me out. {nl}I guess the great king in the past is still the great king in the present. {nl}I better investigate from the pillar outside of the Royal Mausoleum.
QUEST_20150511_002027	The Third Research Material{nl}-{nl}With the help from the young, kind historian, I was able to find a big clue. {nl}Yes. The best place to hide a tree is in a forest. {nl}Ruko Plateau and the King's Plateau… I'm so close I can almost touch it. {nl}I'm confident the 女神 sent him to me. May the blessing of the 女神 always be with us!
QUEST_20150511_002028	The Fourth Research Material{nl}-{nl}Some pillars unlock the Royal Mausoleum and some 祭壇 lock it. {nl}The magical energy that surrounds the tomb moves by the key. {nl}But none can be that key. {nl}We are not chosen.
QUEST_20150511_002029	A wish would come true if we make a pot and put the wish in it. {nl}I understand that it's tradition, but for now, restoring Fedimian back to its former glory is more important than that.
QUEST_20150511_002030	I cannot guarantee the safety of other Holy Relics or the keys so you best hurry.
QUEST_20150511_002031	{memo X}
QUEST_20150511_002032	The picture of the essence is drawn on the old surface.
QUEST_20150511_002033	The Eternal Adventure
QUEST_20150714_002034	Well, you're a new face. Did Julian send you?
QUEST_20150714_002035	{memo X}
QUEST_20150714_002036	She has never appeared before. {nl}Although I've read somewhere that she does appear every now and then…
QUEST_20150714_002037	Even though it would be bad for my business, I wish I could just live peacefully rather than live in fear of monster attacks coming at any moment.
QUEST_20150714_002038	歡迎! {nl}While I can do basic repairs, I don't have the materials to create anything. {nl}Take a look at what I have.
QUEST_20150714_002039	When all is said and done, I don't lie about my prices. Everything I sell is priced honestly and accordingly.
QUEST_20150714_002040	Fire is a grace sent to us by 女神 Gabija. {nl} You won't become a great Pyromancer if you don't acknowledge that.
QUEST_20150714_002041	The 女神es may be all gone but my powers are still doing fine. {nl} I'm sure it's proof that 女神 Gabija is at least safe somewhere.
QUEST_20150714_002042	Killing enemies one by one from a distance is the beauty of the bow and arrow. {nl}It doesn't matter how many shots you have to take, the shots that actually hit {nl}are the ones that count.
QUEST_20150714_002043	Monk Lotze
QUEST_20150714_002044	I'll do whatever it takes to take back the monastery from the monsters.
QUEST_20150714_002045	I dislike those Hunters. {nl}Outsiders must not interfere with the affairs of the monastery.
QUEST_20150714_002046	Monk Zidas
QUEST_20150714_002047	It would do us good if everyone stopped being so stubborn. {nl}I am sure the Hunters will be a great help in retaking the monastery…
QUEST_20150714_002048	I don't like how everyone is insisting their opinions to be right. {nl}It would be great if we helped each other.
QUEST_20150714_002049	Monk Ortega
QUEST_20150714_002050	I don't like those Hunters. {nl}Especially the one called Natasha. I don't know why she is bothering Potos…
QUEST_20150714_002051	I'll make my preparations to retake the monastery from here. {nl}I could ask for the Hunters to lend me their power but… they're so cold-hearted.
QUEST_20150714_002052	According to the priests, Laima is the 女神 of Destiny and Forecasts. {nl}If Laima really exists, wouldn't she know the world would turn out like this?
QUEST_20150714_002053	It's been a year since the civil war broke out. Prices in town have risen dramatically. {nl}General Ruklys has sent for aid, to restore the town's dwindling supplies.
QUEST_20150714_002054	It's been a while since we've had any good news. There's talk about King Kadumel going after the general.
QUEST_20150714_002055	The guard posts have been reinforced in response to the king's forces movements in the country.
QUEST_20150714_002056	It's been confirmed that the king commands a large army. {nl}But if General Hayatin can muster enough volunteer soldiers, the incompetent king will likely surrender or retreat.
QUEST_20150714_002057	The city is running out of food and supplies. {nl}There are only mice in the food storage and the city… {nl}(The rest is illegible.)
QUEST_20150714_002058	Rumor has it that Ruklys has heard about the citizens' harsh conditions {nl}and is negotiating with Kadumel for their amnesty. {nl}If the general wants, we could just stand still…
QUEST_20150714_002059	Premier Eminent is in talks with General Ruklys. {nl}We may have to move to the Great Earth Fortress and let the royal forces claim the city.
