SKILL_20150317_000001	攻擊
SKILL_20150317_002942	投擲蠱罐: 強化 
SKILL_20150317_002943	強化d the 傷害 of [投擲蠱罐] to Wugushi's C2 standards.
SKILL_20150317_002944	投擲蠱罐: 強化 2
SKILL_20150317_002945	強化d the 傷害 of [投擲蠱罐] to Wugushi's C3 standards.
SKILL_20150317_002946	響箭: 強化
SKILL_20150317_002947	{memo X}$增加 the 傷害 of [響箭] per attribute 等級.
SKILL_20150317_002948	響箭: 強化 2
SKILL_20150317_002949	強化d the 傷害 of [響箭] to Scout's C2 standards.
SKILL_20150317_002950	響箭: 強化 3
SKILL_20150317_002951	強化d the 傷害 of [響箭] to Scout's C3 standards.
SKILL_20150317_002952	爆燃 Shot: 強化
SKILL_20150317_002953	{memo X}$增加 the 傷害 of [爆燃 Shot] per attribute 等級.
SKILL_20150317_002954	爆燃 Shot: 強化 2
SKILL_20150317_002955	強化d the 傷害 of [爆燃 Shot] to Scout's C2 standards.
SKILL_20150317_002956	殭屍牆: 強化
SKILL_20150317_002957	{memo X}$增加 the 傷害 of [殭屍牆] per attribute 等級.
SKILL_20150317_002958	殭屍牆: 強化
SKILL_20150317_002959	強化d the 傷害 of [殭屍牆] to Bokor's C2 standards.
SKILL_20150317_002960	殭屍牆: 強化 2
SKILL_20150317_002961	強化d the 傷害 of [殭屍牆] to Bokor's C3 standards.
SKILL_20150317_002962	靈魂爆炸: 強化
SKILL_20150317_002963	{memo X}$增加 the 傷害 of [靈魂爆炸] per attribute 等級.
SKILL_20150317_002964	支配: 強化
SKILL_20150317_002965	{memo X}$增加 the 傷害 of [支配] per attribute 等級.
SKILL_20150317_002966	支配: 強化 2
SKILL_20150317_002967	強化d the 傷害 of [支配] to Sadhu's C3 standards.
SKILL_20150317_002968	Body Basic 攻擊: 強化
SKILL_20150317_002969	{memo X}$增加 the basic 攻擊 傷害 from the the out-of-body state per attribute 等級.
SKILL_20150317_002970	Ectoplasm 攻擊: 強化 2
SKILL_20150317_002971	強化d the 傷害 of [Ectoplasm 攻擊] to Sadhu's C2 standards.
SKILL_20150317_002972	Ectoplasm 攻擊: 強化 3
SKILL_20150317_002973	強化d the 傷害 of [Ectoplasm 攻擊] to Sadhu's C3 standards.
SKILL_20150317_002974	恢復: 強化
SKILL_20150317_002975	{memo X}$增加 the HP recovery effect of [恢復] per attribute 等級.
SKILL_20150317_002976	恢復: 強化 2
SKILL_20150317_002977	強化d the HP recovery increase effect of [恢復] to Paladin's C2 standards.
SKILL_20150317_002978	恢復: 強化 3
SKILL_20150317_002979	強化d the HP recovery increase effect [恢復] to Paladin's C3 standards.
SKILL_20150317_002980	懲擊: 強化
SKILL_20150317_002981	{memo X}$增加 the 傷害 of [懲擊] per attribute 等級.
SKILL_20150317_002982	懲擊: 強化 2
SKILL_20150317_002983	強化d the 傷害 of [懲擊] to Paladin's C2 standards.
SKILL_20150317_002984	懲擊: 強化 3
SKILL_20150317_002985	強化d the 傷害 of [懲擊] to Paladin's C3 standards.
SKILL_20150317_002986	開腸剖肚: 強化
SKILL_20150317_002987	{memo X}$增加 the 傷害 of [開腸剖肚] per attribute 等級.
SKILL_20150317_002988	開腸剖肚: 強化 2
SKILL_20150317_002989	強化d the 傷害 of [開腸剖肚] to Barbarian's C2 standards.
SKILL_20150317_002990	開腸剖肚: 強化 3
SKILL_20150317_002991	強化d the 傷害 of [開腸剖肚] to Barbarian's C3 standards.
SKILL_20150317_002992	踐踏: 強化
SKILL_20150317_002993	{memo X}$增加 the 傷害 of [踐踏] per attribute 等級.
SKILL_20150317_002994	大地波動: 強化
SKILL_20150317_002995	{memo X}$增加 the 傷害 of [大地波動] 增加 per attribute 等級.
SKILL_20150317_002996	大地波動: 強化 2
SKILL_20150317_002997	強化d the 傷害 of [大地波動] to Cataphract's C2 standards.
SKILL_20150317_002998	大地波動: 強化 3
SKILL_20150317_002999	強化d the 傷害 of [大地波動] to Cataphract's C3 standards.
SKILL_20150317_003000	騎乘衝鋒: 強化
SKILL_20150317_003001	{memo X}$增加 the 傷害 of [騎乘衝鋒] per attribute 等級.
SKILL_20150317_003002	騎乘衝鋒: 強化 2
SKILL_20150317_003003	強化d the 傷害 of [騎乘衝鋒] to Cataphract's C2 standards.
SKILL_20150317_003004	騎乘衝鋒: 強化 3
SKILL_20150317_003005	強化d the 傷害 of [騎乘衝鋒] to Cataphract's C3 standards.
SKILL_20150317_003006	厄運穿刺: 強化
SKILL_20150317_003007	{memo X}$增加 the 傷害 of [厄運穿刺] per attribute 等級.
SKILL_20150317_003008	厄運穿刺: 強化 2
SKILL_20150317_003009	強化d the 傷害 of [厄運穿刺] to Cataphract's C2 standards.
SKILL_20150317_003010	厄運穿刺: 強化 2
SKILL_20150317_003011	強化d the 傷害 of [厄運穿刺] to Cataphract's C3 standards.
SKILL_20150317_003012	製造殭屍: Large Zombie
SKILL_20150317_003013	{memo X}$The 機率 of creating large zombies when 製造殭屍ing large monsters 增加 by 1% per attribute 等級.
SKILL_20150317_003014	製造殭屍: Wheelchair Zombie
SKILL_20150317_003015	{memo X}$The 機率 of a wheelchair zombie appearing when creating zombies 增加 by 1% per attribute 等級.
SKILL_20150317_003016	爆燃 Shot: 強化 3
SKILL_20150317_003017	強化d the 傷害 of [爆燃 Shot] to Scout's C3 standards.
SKILL_20150317_003018	靈魂爆炸: 強化 2
SKILL_20150317_003019	強化d the 傷害 of [靈魂爆炸] to Sadhu's C2 standards.
SKILL_20150317_003020	靈魂爆炸: 強化 3
SKILL_20150317_003021	強化d the 傷害 of [靈魂爆炸] to Sadhu's C3 standards.
SKILL_20150317_003022	Use One-handed Swords
SKILL_20150317_003023	{memo X}$Able to use the [One-handed Sword] weapon type
SKILL_20150317_003024	Use Two-handed Swords
SKILL_20150317_003025	{memo X}$Able to use the [Two-handed Sword] weapon type
SKILL_20150317_003026	Use One-handed Spears
SKILL_20150317_003027	{memo X}$Able to use the [One-handed Spear] weapon type
SKILL_20150317_003028	Use Two-handed Spears
SKILL_20150317_003029	{memo X}$Able to use the [Two-handed Spear] weapon type
SKILL_20150317_003030	Use Bows
SKILL_20150317_003031	{memo X}$Able to use the [Bow] weapon type
SKILL_20150317_003032	Use Crossbows
SKILL_20150317_003033	{memo X}$Able to use the [Crossbow] weapon type
SKILL_20150317_003034	Use Rods
SKILL_20150317_003035	{memo X}$Able to use the [Rod] weapon type
SKILL_20150317_003036	Use Staves
SKILL_20150317_003037	{memo X}$Able to use the [法杖] weapon type
SKILL_20150317_003038	Use Maces
SKILL_20150317_003039	{memo X}$Able to use the [Mace] weapon type
SKILL_20150317_003040	Use Wands
SKILL_20150317_003041	{memo X}$Able to use the [Wand] weapon type
SKILL_20150323_003042	劍柄敲打
SKILL_20150323_003043	二重斬
SKILL_20150323_003044	頭骨搖晃
SKILL_20150323_003045	{memo X}Open item durability 維修 shop
SKILL_20150323_003046	{memo X}$營地
SKILL_20150323_003047	{memo X}$Set up a 營地 for your party members. A personal shop can be used along with increasements for your buff durations.
SKILL_20150323_003048	餐桌
SKILL_20150323_003049	滾動雪球
SKILL_20150323_003050	大腦強化
SKILL_20150323_003051	降雨
SKILL_20150323_003052	{memo X}$降雨.
SKILL_20150323_003053	召喚使魔
SKILL_20150323_003054	{memo X}Summon suicidal troop.
SKILL_20150323_003055	寶石烘培
SKILL_20150323_003056	{memo X}$Open a shop to 強化 gems. Decreases the penalty on abilities from 強化d gems.
SKILL_20150323_003057	{memo X}$Synthesize two weapons to 轉換 the basic options. The outcome may be better or worse. Weapon used as material becomes destroyed.
SKILL_20150323_003058	{memo X}$Create potions through alchemy.
SKILL_20150323_003059	道具覺醒
SKILL_20150323_003060	{memo X}$Knockback Shot
SKILL_20150323_003061	{memo X}$Dual Shot
SKILL_20150323_003062	{memo X}$Break Pavise
SKILL_20150323_003063	{memo X}$Crossbow Moving Shot
SKILL_20150323_003064	隱匿
SKILL_20150323_003065	Continuous-type Trap
SKILL_20150323_003066	鋼絲陷阱
SKILL_20150323_003067	人質炸彈
SKILL_20150323_003068	咆哮
SKILL_20150323_003069	奪取
SKILL_20150323_003070	迴避
SKILL_20150323_003071	仇殺
SKILL_20150323_003072	催淚彈
SKILL_20150323_003073	Backstab
SKILL_20150323_003074	漸隱
SKILL_20150323_003075	守護者 Saint
SKILL_20150323_003076	重生
SKILL_20150323_003077	驅邪
SKILL_20150323_003078	God Finger Flick
SKILL_20150323_003079	金鐘罩
SKILL_20150323_003080	Discerning Evil
SKILL_20150323_003081	重置
SKILL_20150323_003082	死刑宣告
SKILL_20150323_003083	Prevented from becoming Incapable of Combat once.
SKILL_20150323_003084	{memo X}Throw left-hand weapon
SKILL_20150323_003085	元素抗性
SKILL_20150323_003086	Critical rate is higher when 攻擊ing from behind.
SKILL_20150323_003087	Periodic decrease of SP and 傷害
SKILL_20150323_003088	Remove harmful effects
SKILL_20150323_003089	Periodi呼喚y decreases your SP
SKILL_20150323_003090	Throw right-hand weapon
SKILL_20150323_003091	迴避 rate decrease
SKILL_20150323_003092	迴避 rate increase
SKILL_20150323_003093	{memo X}Equip virtual weapon
SKILL_20150323_003094	{memo X}維修 Armor
SKILL_20150323_003095	Your Companion growls fearfully. Nearby monsters may fall under Fear.
SKILL_20150323_003096	Elementalist: Resist
SKILL_20150323_003097	{memo X}雕刻世界樹: Pull
SKILL_20150323_003098	{memo X}Pull enemies within range of [雕刻世界樹]
SKILL_20150323_003099	元素抗性: Resistance
SKILL_20150323_003100	{memo X}$增加 the 火, 冰 and 雷 properties while decreasing the 毒 and Earth properties when using [元素抗性] by 5 per attribute 等級 respectively. 
SKILL_20150323_003101	強化d the 傷害 of [隕石術] to Elementalist's C2 standards.
SKILL_20150323_003102	強化d the 傷害 of [隕石術] to Elementalist's C3 standards.
SKILL_20150323_003103	強化d the 傷害 of [紅炎] to Elementalist's C2 standards.
SKILL_20150323_003104	強化d the 傷害 of [紅炎] to Elementalist's C3 standards.
SKILL_20150323_003105	強化d the 傷害 of [冰雹術] to Elementalist's C2 standards.
SKILL_20150323_003106	強化d the 傷害 of [冰雹術] to Elementalist's C3 standards.
SKILL_20150323_003107	強化d the 傷害 of [電刑] to Elementalist's C2 standards.
SKILL_20150323_003108	強化d the 傷害 of [電刑] to Elementalist's C3 standards.
SKILL_20150323_003109	左臂強化: 強化
SKILL_20150323_003110	{memo X}$增加 the 傷害 of [左臂強化] Increase per Attribute 等級.
SKILL_20150323_003111	左臂強化: 強化 2
SKILL_20150323_003112	強化d the increased 攻擊 effect of [左臂強化] to Thaumaturge's C2 standards.
SKILL_20150323_003113	左臂強化: 強化 3
SKILL_20150323_003114	強化d the increased 攻擊 effect of [左臂強化] to Thaumaturge's C3 standards.
SKILL_20150323_003115	突刺: Bleeding
SKILL_20150323_003116	{memo X}Use [突刺] on stunned enemies for additional Bleed effect.
SKILL_20150323_003117	{memo X}十字守護: Debuff
SKILL_20150323_003118	{memo X}Enemies blocked by [十字守護] temporarily become vulnerable to stab 攻擊s.
SKILL_20150323_003119	火屬性: Explosion
SKILL_20150323_003120	{memo X}Using 火屬性 攻擊s to finsih enemies will cause explosion and splash 傷害.
SKILL_20150323_003121	冰 Property: 緩速
SKILL_20150323_003122	{memo X}Using 冰 Property 攻擊s to finsih enemies will 緩速 down nearby enemies.
SKILL_20150323_003123	破防領域: Sword 攻擊
SKILL_20150323_003124	{memo X}Using sword 攻擊s on enemies with [Depreotected Zone] dereases 防禦.
SKILL_20150401_003125	[Woodfung] 物理, 打擊, Non-Attribute 攻擊
SKILL_20150401_003126	[Velleg] 物理, 打擊, 闇屬性 攻擊
SKILL_20150401_003127	Right-handed Pistol (Pistol Only)
SKILL_20150401_003128	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Use sword handle to smack enemy.{nl}攻擊 stunned enemies for additinal 傷害. 傷害 ignore bonus applies to small and medium sized monsters.
SKILL_20150401_003129	{memo X}攻擊 #{SkillAtkAdd}#{nl}Ingnore small, medium target 防禦 #{CaptionRatio}#{nl}Splash #{SkillSR}#
SKILL_20150401_003130	{#DD5500}{ol}[物理] - [斬擊]{/}{/}{nl}Perform a side 斬擊 on enemies.{nl}Enemies affected by the [Bleeding] status take additional 傷害.
SKILL_20150401_003131	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Throw shield to 攻擊. Shield falls on the ground and must be picked up to reuse.
SKILL_20150401_003132	{memo X}轉換 to stance using Shield. Block and Critiacal resistance increase but basic 攻擊 decreases.
SKILL_20150401_003133	{memo X}Block + #{CaptionRatio}# {nl}Critical resistance + #{CaptionRatio2}# {nl}攻擊 - #{CaptionTime}#%
SKILL_20150401_003134	{memo X}{#DD5500}{ol}[物理] - [打擊] - [斬擊]{/}{/}{nl}Use corner of shield to 攻擊 then 斬擊 enemy.
SKILL_20150401_003135	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Use back of knife to 打擊 and push away enemy. Enemy falls under Armor Break (Permanent on monsters)
SKILL_20150401_003136	{memo X}{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}刺擊 the enemy.{nl}Continuous 攻擊 bonus is applied depending on size of enemy.
SKILL_20150401_003137	{memo X}{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}Throw spear to 攻擊 enemy. Spear falls on ground and should be picked up to reuse.
SKILL_20150401_003138	舉盾進擊
SKILL_20150401_003139	{memo X}攻擊 #{SkillAtkAdd}#{nl}Splash #{SkillSR}#{nl}Can use when 騎乘
SKILL_20150401_003140	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Gather force and smash the ground with weapon to 攻擊 target.
SKILL_20150401_003141	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Charge forward and push away enemy.
SKILL_20150401_003142	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Gather force and stab the enemy.
SKILL_20150401_003143	{memo X}{#DD5500}{ol}[物理] - [斬擊]{/}{/}{nl}Swong the spear over head to continuously 攻擊 enemies in front.
SKILL_20150401_003144	{memo X}攻擊 #{SkillAtkAdd}#{nl}Max. Duration 10 seconds{nl}Splash #{SkillSR}#{nl}Can use while 騎乘
SKILL_20150401_003145	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Tie enemy with rope and drag it.{nl}Enemy received 傷害 every time it is pulled and falls under Bleed state when released.
SKILL_20150401_003146	{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}Release a powerful stab into the enemy, then kick it away with your foot.
SKILL_20150401_003147	{memo X}攻擊 using stab continuously.
SKILL_20150401_003148	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Make solid landing when jumping or on air to 傷害 enemies.
SKILL_20150401_003149	武器保養
SKILL_20150401_003150	{memo X}Open shop for 維修ing weapons. ATK is added when 維修ed.
SKILL_20150401_003151	{memo X}$增加 攻擊 equal to [Skill 等級]×[Number of Weapon Stars]{nl}攻擊 Count: #{CaptionRatio2}#{nl}Duration: 4 hour
SKILL_20150401_003152	護甲保養
SKILL_20150401_003153	{memo X}Open shop for 維修ing armors. Only top, pants, and shield can be 維修ed. 物理 防禦 is added when 維修ed.
SKILL_20150401_003154	{memo X}$物理 防禦: +#{CaptionRatio}#{nl}Number of Shots: #{CaptionRatio2}#{nl}Duration: 4 hours
SKILL_20150401_003155	{memo X}Open shop to 維修 equipments. Item can be 維修ed beyond max. durability.
SKILL_20150401_003156	維修s over #{CaptionRatio}# durability
SKILL_20150401_003157	{memo X}You're 待命ing the enemy tied on rope. You can also 待命 the boss monsters.
SKILL_20150401_003158	{memo X}Max. duration 10 seconds
SKILL_20150401_003159	營地
SKILL_20150401_003160	{memo X}Install basecamp in field. Party members can sue the basecamp for personal storage and can freely warp to basecamp.
SKILL_20150401_003161	{memo X}Duration #{CaptionRatio}# hours
SKILL_20150401_003162	{memo X}Install food distribution table where you can share with party members. It can be installed nearby basecamp and it will disbanded when the basecamp is disbanded.
SKILL_20150401_003163	增加 the food effectivenes by skill 等級
SKILL_20150401_003164	{memo X}Stick flag that boosts the combat abilities of the pirates on the ground. Kill enemies continuously for fever combo.
SKILL_20150401_003165	{memo X}Flag duration: 30 seconds.
SKILL_20150401_003166	奪取 enemy with hook.
SKILL_20150401_003167	{memo X}奪取 time 5 seconds
SKILL_20150401_003168	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Use 鐵鉤 to drag enemy. Enemy receives 傷害 every time it is pulled.
SKILL_20150401_003169	{memo X}攻擊 #{SkillFactor}#% + #{SkillAtkAdd}#{nl}#{CaptionRatio}# continuous hits
SKILL_20150401_003170	{memo X}Can open locked treasure chest.
SKILL_20150401_003171	{memo X}Can open Treaure Chests below LV #{CaptionRatio}#
SKILL_20150401_003172	Can temporarily connect basic and sword 攻擊.
SKILL_20150401_003173	{memo X}Can use sword right after basic 攻擊
SKILL_20150401_003174	{memo X}Make formation to recruit troops.
SKILL_20150401_003175	{memo X}Troops capacity #{CaptionRatio}#
SKILL_20150401_003176	{memo X}轉換 to 方陣 formation. All blocks of troops are 集中d to the front three troops.
SKILL_20150401_003177	{memo X}Block 增加 for troop in front{nl}Rest of troops : 0 block
SKILL_20150401_003178	{memo X}轉換 to Tersio formation. 防禦 of troops in the front row increase and 呼喚 enemy's attention.
SKILL_20150401_003179	{memo X}防禦 + #{CaptionRatio}#
SKILL_20150401_003180	{memo X}轉換 to 鶴翼陣. 防禦 of enemies in front is decreased.
SKILL_20150401_003181	{memo X}防禦 - #{CaptionRatio}#%
SKILL_20150401_003182	{memo X}轉換 to 楔形陣. 攻擊 of the troop in front applies as continuos 攻擊.
SKILL_20150401_003183	{memo X}#{CaptionRatio}# Continuous hits
SKILL_20150401_003184	{memo X}轉換 to Skiltron formation. All troops 待命 their weapons up high and enemies are blown away.
SKILL_20150401_003185	{memo X}Enemy approaching is pushed far back
SKILL_20150401_003186	{memo X}轉換 to Testudo formation. All troops move in a 防禦 stance with their shields up front.
SKILL_20150401_003187	{memo X}攻擊 - #{CaptionRatio}#%{nl}防禦 increase as much as increased 攻擊
SKILL_20150401_003188	{memo X}轉向 of formation
SKILL_20150401_003189	{memo X}The direction you face become front
SKILL_20150401_003190	When taking 傷害, your 攻擊 speed and 攻擊 are increased, but your 防禦 is decreased.
SKILL_20150401_003191	{memo X}攻擊 + #{CaptionRatio}#% {nl}防禦 - #{CaptionRatio}#%{nl}Max. repeat #{CaptionRatio2}# times{nl}Duration #{CaptionTime}# seconds
SKILL_20150401_003192	Temporarily grants a high resistance to being affected by knock back, knock down or staggered.
SKILL_20150401_003193	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Use back of sword to smack down enemy.
SKILL_20150401_003194	{memo X}Kill the enemy within set 攻擊 counts for additional EXP and rewards. But 傷害 and Incapable of combate penalty also 增加 while the effects last.
SKILL_20150401_003195	攻擊 Limit: #{CaptionRatio}#{nl}2x EXP & Drop Rate
SKILL_20150401_003196	{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}Deeply 刺擊 a collapsed enemy.
SKILL_20150401_003197	{memo X}{#DD5500}{ol}[物理] - [斬擊]{/}{/}{nl}Quickly rotate to 傷害 nearby enemies.
SKILL_20150401_003198	{memo X}Grow target's right hand and increase 防禦.
SKILL_20150401_003199	{memo X}物理 防禦 + #{CaptionRatio}# {nl}魔法 防禦 + #{CaptionRatio}#{nl}Duration #{CaptionTime}# seconds
SKILL_20150401_003200	{memo X}Grow target's head and increase INT.
SKILL_20150401_003201	INT: +#{CaptionRatio}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150401_003202	Let it 降雨 in a specified location. The 降雨 provides various effects.
SKILL_20150401_003203	{memo X}Summon demon of Grimore
SKILL_20150401_003204	{memo X}Summon demon type boss {nl}registered to Grimore
SKILL_20150401_003205	{memo X}Order devils to move and 攻擊.
SKILL_20150401_003206	Requires Summoned Demon{nl}Maximum 等級: 1
SKILL_20150401_003207	{memo X}Rode on top of Grimore Demon.
SKILL_20150401_003208	Enables you to use a demon's skill
SKILL_20150401_003209	{memo X}Mutate Grimore Demon to the demon registered as sub.
SKILL_20150401_003210	Added to the Grimoire{nl}變換讀入 to another Demon-type boss monster
SKILL_20150401_003211	{memo X}Order devils to stand by.
SKILL_20150401_003212	{memo X}{#993399}{ol}[魔法] - [闇]{/}{/}{nl}Summons Familiar spirits that approaches enemy and explode.
SKILL_20150401_003213	{memo X}攻擊 #{SkillAtkAdd}#{nl}Summon #{CaptionRatio}# Familiar Spirits
SKILL_20150401_003214	召喚薩拉米恩
SKILL_20150401_003215	{memo X}召喚薩拉米恩. Salamion 攻擊s enemies it sees.
SKILL_20150401_003216	{memo X}Salamion 攻擊 100{nl}Salamion HP 1000
SKILL_20150401_003217	增加 the target's 攻擊 speed.
SKILL_20150401_003218	攻擊 Speed: +#{CaptionRatio}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150401_003219	{memo X}Give monster the effect of reviving after killed.
SKILL_20150401_003220	{memo X}Temporarily 時間暫停 time in specified area. Target does not receive any 傷害 while time is 時間暫停ped.
SKILL_20150401_003221	魔法 Duration: #{CaptionTime}# seconds
SKILL_20150401_003222	{memo X}Decrease target's movement speed.
SKILL_20150401_003223	{memo X}Movement speed - #{CaptionRatio}#%{nl}魔法 circle duration #{CaptionRatio2}# seconds{nl}{#339999}{ol}[緩速]{/}{/} duration 5 seconds
SKILL_20150401_003224	{memo X}Increase target's movement speed.
SKILL_20150401_003225	{memo X}Movement speed + #{CaptionRatio}#% {nl}Duration #{CaptionTime}# seconds
SKILL_20150401_003226	{memo X}Turn back all times within the area to time before skill was used.
SKILL_20150401_003227	{memo X}Backmasking range 100{nl}Cannot use backmasking in the area for 10 seconds
SKILL_20150401_003228	{memo X}{#993399}{ol}[魔法]{/}{/}{nl}Collect corpse parts when monsters are killed using this 攻擊.
SKILL_20150401_003229	{memo X}攻擊 #{SkillAtkAdd}#{nl}Collect corpse piece of each monster type
SKILL_20150401_003230	{memo X}Refer to monster registered in Necronomicon and summon Shawgus
SKILL_20150401_003231	{memo X}Boss 卡片 registered in Necronomicon
SKILL_20150401_003232	{memo X}{#993399}{ol}[魔法]{/}{/}{nl}Throw corpse parts to specific area.
SKILL_20150401_003233	{memo X}{#993399}{ol}[魔法]{/}{/}{nl}Make parts of corpse surround you and 傷害 nearby enemies.
SKILL_20150401_003234	{memo X}Make wall of corpse and block enemies
SKILL_20150401_003235	{memo X}#{CaptionRatio}# Dirty Walls{nl}Duration 15 seconds
SKILL_20150401_003236	{memo X}Collect the corpse pieces left where the monster died.
SKILL_20150401_003237	{memo X}Target range 100
SKILL_20150401_003238	{memo X}{#993399}{ol}[魔法]{/}{/}{nl}Detonate the item on ground and 傷害 nearby enemies,
SKILL_20150401_003239	{memo X}挖掘 the ground and get items for alchemy
SKILL_20150401_003240	{memo X}Get different ore every time
SKILL_20150401_003241	{memo X}Open shop to 強化 gem. Penalty stats of gems decrease.
SKILL_20150401_003242	Decreases the Gem's penalty depending on the skill 等級
SKILL_20150401_003243	{memo X}Synthesize weapons to 轉換 stats. Potential is consumed.
SKILL_20150401_003244	Min. and Max. 攻擊 轉換 by {nl}-#{CaptionRatio}#%~#{CaptionRatio}#% each
SKILL_20150401_003245	{memo X}Duct item to make useful potion for combat.
SKILL_20150401_003246	Create a potion through a recipe
SKILL_20150401_003247	{memo X}Synthesize items to create new item.
SKILL_20150401_003248	Possible Combination: #{CaptionRatio}#X#{CaptionRatio}#
SKILL_20150401_003249	{memo X}Decrease weapon potential to open item dungeon. Weapon's potential abilities show up when dungeon is cleared.
SKILL_20150401_003250	{memo X}Each weapon has different dungeons{nl}and potential effects
SKILL_20150401_003251	{memo X}攻擊 #{SkillAtkAdd}#{nl}/Bounced arrow 攻擊 #{CaptionRatio}#%
SKILL_20150401_003252	{memo X}{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}Shoot arrows that push away enemy.
SKILL_20150401_003253	{memo X}{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}火 two arrows simultaneusly.
SKILL_20150401_003254	{memo X}{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}Using this 攻擊 to kill enemy will cause arrows to flick nearby the enemy.
SKILL_20150401_003255	{memo X}Collect stone bullets in field. Cannot be collected in town.
SKILL_20150401_003256	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Destroy pavise to 傷害 target in front.
SKILL_20150401_003257	{memo X}攻擊 #{SkillAtkAdd}#{nl}Can destroy 冰牆, Dirty Wall
SKILL_20150401_003258	{memo X}Move quickly towards target and shoot arrow.
SKILL_20150401_003259	{memo X}Hide installation from enemies
SKILL_20150401_003260	隱匿 Duration: #{CaptionRatio}# minutes
SKILL_20150401_003261	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Flame is fumed and 傷害 target in the area.
SKILL_20150401_003262	{memo X}{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}Install trap where arrows are 火d when touching wire.
SKILL_20150401_003263	{memo X}攻擊 #{SkillAtkAdd}#{nl}No. of Arrows #{CaptionRatio}#{nl}Install range #{CaptionRatio2}#
SKILL_20150401_003264	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Install bomb surrounding target. Bomb explosed when touching enemy.
SKILL_20150401_003265	{memo X}攻擊 #{SkillAtkAdd}#{nl}Install #{CaptionRatio}#
SKILL_20150401_003266	{memo X}迴避 - #{CaptionRatio}# {nl}標記 AI duration 10 minutes
SKILL_20150401_003267	{memo X}Detect hidden monster{nl}追蹤 AI duration 10 minutes
SKILL_20150401_003268	{memo X}Companion guards against monsters approaching.
SKILL_20150401_003269	{#339999}{ol}[Fear]{/}{/} Duration #{CaptionRatio}# seconds{nl}If distance between player and companion is at least {nl}250 meters, disable AI{nl}咆哮 AI Duration 10 minutes
SKILL_20150401_003270	{memo X}{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}Shoot arrows that make noise. It also affects target's surroundings.
SKILL_20150401_003271	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Shoot flash arrows on the ground. Flash pops and shoots sparks to enemies nearby.
SKILL_20150401_003272	{memo X}Max. duration 10 seconds{nl}Consume #{CaptionRatio}# SP per second
SKILL_20150401_003273	{memo X}Rate of Critical temporarily 增加 when attacked form behind.
SKILL_20150401_003274	Critical 機率: +#{CaptionRatio}#%{nl}Duration: #{CaptionTime}# seconds
SKILL_20150401_003275	{memo X}Decrease 迴避 of target in front.
SKILL_20150401_003276	迴避: -#{CaptionRatio}#%{nl}Targets: #{CaptionRatio2}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150401_003277	{memo X}Hide under the ground
SKILL_20150401_003278	Can only use basic 攻擊 in 窟 state
SKILL_20150401_003279	{memo X}Steal enemy's trap or 魔法 circle. You can used the stolen things later.
SKILL_20150401_003280	Acquire #{CaptionRatio}# enemy's lenolium
SKILL_20150401_003281	增加 your 迴避.
SKILL_20150401_003282	迴避: +#{CaptionRatio}#%{nl}Duration: #{CaptionTime}# seconds
SKILL_20150401_003283	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Using this 攻擊 to kill enemy explodes target. Strength of party members is temporarily increased.
SKILL_20150401_003284	{memo X}攻擊 #{SkillAtkAdd}#{nl}STR + #{CaptionRatio}#{nl}Duration #{CaptionTime}# seconds
SKILL_20150401_003285	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}Throw tear gas bomb. Target affected fall into Blind state.
SKILL_20150401_003286	{memo X}攻擊 #{SkillAtkAdd}#{nl}Tear gas Duration #{CaptionTime}# seconds
