
UI_20150317_000001	{@st41b}可以從各職業的導師處{nl}學習到對應的特性技能。{/}
UI_20150317_001083	For adenomas hwageuk
UI_20150317_001084	Puncture sex
UI_20150317_001085	Yeonhwagyo
UI_20150317_001086	{S16}性別與外貌
UI_20150317_001087	男性
UI_20150317_001088	女性
UI_20150317_001089	髮型調整
UI_20150317_001090	Key Adjustment
UI_20150317_001091	肩膀寬度
UI_20150317_001092	四肢大小
UI_20150317_001093	胸部
UI_20150317_001094	腰圍
UI_20150317_001095	臀部
UI_20150317_001096	{S18} 頭部
UI_20150317_001097	{S14} 身高調整
UI_20150317_001098	{S14} 肩膀寬度
UI_20150317_001099	{S14} 四肢大小
UI_20150317_001100	{S14} 胸部
UI_20150317_001101	{S14} 腰圍
UI_20150317_001102	{S14} 臀部
UI_20150317_001103	使用預設
UI_20150317_001104	隨機
UI_20150317_001105	建立新角色
UI_20150317_001106	取消角色建立
UI_20150317_001107	{@St43}{s40}{gr gradation4}開始遊戲{/}
UI_20150317_001108	{@St43}{s40}{gr gradation4}結束預覽{/}
UI_20150317_001109	{@St43}{s40}{gr gradation4}返回區域{/}
UI_20150317_001110	{@St59}返回區域。{/}
UI_20150317_001111	{@St41b}返回{/}
UI_20150317_001112	{@St59}回到我的小屋{/}
UI_20150317_001113	{@St43}{s24}小屋名稱{/}
UI_20150317_001114	{@St59}小屋名稱{/}
UI_20150317_001115	{@st41b}裝修{/}
UI_20150317_001116	{@St59}小屋裝修{/}
UI_20150317_001117	{@St41b}設定{/}
UI_20150317_001118	{@St59}小屋設定{/}
UI_20150317_001119	自訂的道具框架
UI_20150317_001120	Green
UI_20150317_001121	密度
UI_20150317_001122	Like HP
UI_20150317_001123	{@st59}髮飾{/}
UI_20150317_001124	{@st59}副飾品{/}
UI_20150317_001125	{@St42}文字{/}
UI_20150317_001126	基礎內容名稱
UI_20150317_001127	Basic group name
UI_20150317_001128	基礎物品名稱
UI_20150317_001129	Mr Kim
UI_20150317_001130	重量：%s
UI_20150317_001131	N/A
UI_20150317_001132	%S 種族
UI_20150317_001133	N/A
UI_20150317_001134	不可交易
UI_20150317_001135	不能強化
UI_20150317_001136	N/A
UI_20150317_001137	道具名稱
UI_20150317_001138	N/A
UI_20150317_001139	等級或以上
UI_20150317_001140	所有人都可以裝備
UI_20150317_001141	{memo X}Maximum Sockets : ×%s
UI_20150317_001142	道具名稱
UI_20150317_001143	商店銷售價格：%s 銀幣
UI_20150317_001144	多少錢
UI_20150317_001145	{@St42b}希奧利艾大陸探索率{/}
UI_20150317_001146	{@St42b}探索到西部森林區域{/}
UI_20150317_001147	{@St18}道具{/}
UI_20150317_001148	{@St18}我的排名{/}
UI_20150317_001149	鑽石
UI_20150317_001150	體力 +9.000
UI_20150317_001151	{@St18}平均{/}
UI_20150317_001152	{@St42b}{s18}手藝{/}
UI_20150317_001153	{@St55_c}道具名稱
UI_20150317_001154	{@St55_c}備註記錄
UI_20150317_001155	{@St59}請輸入名字。如果你不輸入，會自動使用預設名稱。{/}
UI_20150317_001156	{@St59}輸入備註{/}
UI_20150317_001157	{@St43}道具製作
UI_20150317_001158	{memo X}{@st42b}%s points {/}
UI_20150317_001159	{memo X}{@st42b}%s dog {/}
UI_20150317_001160	{memo X}{@st42b}%s points {/}
UI_20150317_001161	{memo X}{@st42b}%s dog {/}
UI_20150317_001162	{S16}{ol}per price
UI_20150317_001163	總價：1
UI_20150317_001164	{memo X}{@St41}Help
UI_20150317_001165	{memo X}{@St41}Photo Description
UI_20150317_001166	{@St41}註冊
UI_20150317_001167	{@St41}名字
UI_20150317_001168	{@St41}信箱
UI_20150317_001169	{@St43}名字{/}
UI_20150317_001170	{@St41b}信箱{/}
UI_20150317_001171	{@St42b}登入{/}
UI_20150317_001172	{@St41}建立新的對話
UI_20150317_001173	{@St41}完整對話內容
UI_20150317_001174	地區名稱
UI_20150317_001175	{@St41}技能名稱
UI_20150317_001176	{@St41}特性點數
UI_20150317_001177	{@St41}職業名稱
UI_20150317_001178	角色名稱
UI_20150317_001179	{@Sti7}刪除{/}
UI_20150317_001180	角色等級
UI_20150317_001181	{@St42}任務分享{/}
UI_20150317_001182	{@St42}EXP 分享{/}
UI_20150317_001183	角色備註
UI_20150317_001184	{memo X}Average Party Level : {#FFFF00}%s{/}
UI_20150317_001185	{memo X}Searching For : {#FFFF00}%s{/}
UI_20150317_001186	{memo X}Cleric / Archer
UI_20150317_001187	{memo X}Quest Sharing : {#FFFF00}%s{/}
UI_20150317_001188	{memo X}N/A
UI_20150317_001189	{memo X}EXP Priority : {#FFFF00}%s{/}
UI_20150317_001190	{memo X}Equally
UI_20150317_001191	{memo X}Item Priority : {#FFFF00}%s{/}
UI_20150317_001192	{memo X}Randomly
UI_20150317_001193	我該怎麼辦
UI_20150317_001194	你不會知道這是誰
UI_20150317_001195	{@st41b}冒險日誌已更新
UI_20150317_001196	任務選單物件
UI_20150317_001197	任務目錄
UI_20150317_001198	任務列表物件
UI_20150317_001199	N/A
UI_20150317_001200	Line used on the roadmap
UI_20150317_001201	Slot Object_Standard
UI_20150317_001202	Slot Object_Cash Slot
UI_20150317_001203	角色細節 類型1
UI_20150317_001204	角色細節 類型2
UI_20150317_001205	背包列表 類型1
UI_20150317_001206	背包列表 類型2
UI_20150317_001207	Inventory Slot Type
UI_20150317_001208	在拍賣場上檢視道具細節
UI_20150317_001209	道具名稱輸出
UI_20150317_001210	剩餘數量輸出
UI_20150317_001211	數值輸出
UI_20150317_001212	當你把這東西新增到購物車
UI_20150317_001213	總數值輸出
UI_20150317_001214	For item output
UI_20150317_001215	單位價格輸出
UI_20150317_001216	道具目錄
UI_20150317_001217	新聞
UI_20150317_001218	{@St42b}重新開始{/}
UI_20150317_001219	Peltang Stang
UI_20150317_001220	99 階
UI_20150317_001221	擊退 8個瘋狂的瓦布族人
UI_20150317_001222	工具提示
UI_20150317_001223	EXP：sad{br}+1 強化水晶 (攻擊)
UI_20150317_001224	Apprentice Sword
UI_20150317_001225	修理 耐久度：
UI_20150317_001226	修理費用：120 銀幣
UI_20150317_001227	修理費用：%s 銀幣
UI_20150317_001228	{@st42b}投標數量 {@sti7}%s{/}
UI_20150317_001229	{@st42b}目前價格 {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001230	{@St41}立即購買！ {Img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001231	{@St41b}接收道具{/}
UI_20150317_001232	{@st42b} 競標價 {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001233	{@Sti7}返回
UI_20150317_001234	{@St59}頭部{/}
UI_20150317_001235	{@St59}左手環{/}
UI_20150317_001236	{@St59}右手環{/}
UI_20150317_001237	{@St59}服裝{/}
UI_20150317_001238	{@st59}戒指2{/}
UI_20150317_001239	寵物名稱
UI_20150317_001240	Chandler bundle
UI_20150317_001241	西部森林等...
UI_20150317_001242	{memo X}Consume iCoins
UI_20150317_001243	目錄名稱
UI_20150317_001244	這是說明
UI_20150317_001245	{@Sti7}%s 點{/}
UI_20150317_001246	{@st41b}%s 分
UI_20150317_001247	完成25個任務
UI_20150317_001248	[Sub]荊棘森林
UI_20150317_001249	{@St42}已裝備的道具
UI_20150317_001250	{@St44}%s 階 職業資訊{/}
UI_20150317_001251	進階資訊
UI_20150317_001252	Like Heart
UI_20150317_001253	N/A
UI_20150317_001254	%s 級
UI_20150317_001255	{memo X}Memo : {#666666}%s
UI_20150317_001256	Ayase
UI_20150317_001257	與 %s 的友情	
UI_20150317_001258	{#FFFF33}%s{/} 想跟你成為好友{/}
UI_20150317_001259	{@St41b}接受
UI_20150317_001260	{memo X}{@St41b}Decline
UI_20150317_001261	{@St53b}正在讀取好友列表。
UI_20150317_001262	等級 %s{/}
UI_20150317_001263	{@st41} 取消
UI_20150317_001264	請加入要販賣的 buff
UI_20150317_001265	價格：%s{/}
UI_20150317_001266	剩餘數量
UI_20150317_001267	{@St41}購買
UI_20150317_001268	剩餘數量：%s {/}
UI_20150317_001269	{@St41}道具{/}
UI_20150317_001270	{@St41b}備註
UI_20150317_001271	{@St41b}製作
UI_20150317_001272	{memo X}{@St41b}價格：%s{/}
UI_20150317_001273	{@Sti5}價格：%s{/}
UI_20150317_001274	{@Sti9}組隊任務 (%s){/}
UI_20150317_001275	{@st41_yellow}探索率 %s% {/}
UI_20150317_001276	{@st41_yellow}%s 點{/}
UI_20150317_001277	{@st42b}{b}成就完成度{/}
UI_20150317_001278	{@st59}加入組隊任務{/}
UI_20150317_001279	視窗
UI_20150317_001280	狀態
UI_20150317_001281	分頁
UI_20150317_001282	圖像道具
UI_20150317_001283	效果
UI_20150317_001284	控制組
UI_20150317_001285	{@St41}難度：%s
UI_20150317_001286	{@St42}剩餘時間：%s
UI_20150317_001287	{@St53}道具製作
UI_20150323_001288	{@st59}把道具放進這裡{/}
UI_20150323_001289	{@st42}取消
UI_20150323_001290	{@st42}確認
UI_20150323_001291	{@st43}Briquetting{/}
UI_20150323_001292	目前的 潛力點
UI_20150323_001293	可消耗的材料
UI_20150323_001294	可消耗的數量
UI_20150323_001295	可用的數量
UI_20150323_001296	{memo X}{@sti6}Transaction Record
UI_20150323_001297	{memo X}{@st43}Base Camp
UI_20150323_001298	公告牌標題
UI_20150323_001299	{memo X}{@st43}Build
UI_20150323_001300	{memo X}{@stc1}Base Camp Lasting Time
UI_20150323_001301	{@stc1}效果
UI_20150323_001302	{@stc1}材料與價格
UI_20150323_001303	{memo X}{@st41b}Base Camp
UI_20150323_001304	{memo X}{@st41b}Log
UI_20150323_001305	{@st41b}Renew
UI_20150323_001306	{@st59}Renews the lasting time.{/}
UI_20150323_001307	{memo X}{@st41b}Base Camp Lasting Time
UI_20150323_001308	{@st41b}效果
UI_20150323_001309	{memo X}{@st42b}A base camp lasts for an additional 24 hours when renewed. Consumes %s silver.
UI_20150323_001310	{memo X}{@st41b}Personal Storage
UI_20150323_001311	{memo X}{@stc1}Storing and taking items in and from storage costs %s silver.{/}
UI_20150323_001312	{memo X}{@st41}{#ffff00}Lock Target{/}
UI_20150323_001313	{@st43}點心表
UI_20150323_001314	{memo X}{@st41b}Food type
UI_20150323_001315	{memo X}{@st41b}Table
UI_20150323_001316	{@st59}關閉{/}
UI_20150323_001317	{@st43}魔法書{/}
UI_20150323_001318	{@st59}關閉魔法書介面{/}
UI_20150323_001319	{memo X}My Summon Skill
UI_20150323_001320	主卡
UI_20150323_001321	副卡
UI_20150323_001322	{memo X}Stat
UI_20150323_001323	{memo X}CON
UI_20150323_001324	{memo X}INT
UI_20150323_001325	{memo X}DEX
UI_20150323_001326	{memo X}CRT
UI_20150323_001327	{memo X}{@st43}Set up Shop{/}
UI_20150323_001328	{@st41b}設定
UI_20150323_001329	單位價格
UI_20150323_001330	{@st41b}材料列表
UI_20150323_001331	{memo X}{@st43}Gem Roasting{/}
UI_20150323_001332	{@st59}關閉介面{/}
UI_20150323_001333	{@st41b}修理{/}
UI_20150323_001334	{memo X}{@st41b}Log{/}
UI_20150323_001335	{memo X}Price to receive
UI_20150323_001336	${@st59}請放入寶石{/}
UI_20150323_001337	可消耗的材料
UI_20150323_001338	剩餘數量
UI_20150323_001339	{@st42}關閉
UI_20150323_001340	${@st43}武器保養{/}
UI_20150323_001341	${@st43}裝備保養{/}
UI_20150323_001342	{memo X}{@st41b}Price to receive
UI_20150323_001343	{@st41b}材料
UI_20150323_001344	{@st43}修理{/}
UI_20150323_001345	{@st41b}修理{/}
UI_20150323_001346	技能等級
UI_20150323_001347	{@st41}No. of players to enter
UI_20150323_001348	{@st43}Item upgrade dungeon
UI_20150323_001349	{@st41}需要材料
UI_20150323_001350	{@st59}需要材料{/}
UI_20150323_001351	建議等級：%s
UI_20150323_001352	{memo X}{@st43}UI Select Mode{/}
UI_20150323_001353	{@st43}委託商店選單
UI_20150323_001354	商店名稱
UI_20150323_001355	{@st41b}開店
UI_20150323_001356	{@st59}建立委託商店{/}
UI_20150323_001357	{@st59}取消{/}
UI_20150323_001358	{@st59}關閉委託商店選單{/}
UI_20150323_001359	收購道具
UI_20150323_001360	{memo X}{@st59}Close Buy-in Shop
UI_20150323_001361	{memo X}{@st59}Buy-in Shop{nl} - Trade your items for silver
UI_20150323_001362	{memo X}{@st43}Items the buyer wants{/}
UI_20150323_001363	{memo X}{@st43}Items for sale
UI_20150323_001364	{memo X}{@st43}Total Profit
UI_20150323_001365	{memo X}{@st41}Sell
UI_20150323_001366	{@st41}煉金術材料
UI_20150323_001367	{@st41}煉金結果 {@stx1}(需要 %s){/}
UI_20150323_001368	{@st59}召喚寵物{/}
UI_20150323_001369	{@st41b}角色設定{/}
UI_20150323_001370	{@st59}魔法書{/}
UI_20150323_001371	{memo X}{@st41b}Apply Bloom{/}
UI_20150323_001372	{memo X}{@st41b}Apply Vignette{/}
UI_20150323_001373	{memo X}{@st41b}Apply FXAA{/}
UI_20150323_001374	{memo X}{@st41b}Apply GLOW{/}
UI_20150323_001375	{memo X}{@st41b}Apply Depth {/}
UI_20150323_001376	{memo X}{@st41b}Apply SoftParticle{/}
UI_20150323_001377	{@st43}個人倉庫{/}
UI_20150323_001378	{memo X}{@st59}Close Personal Storage{/}
UI_20150323_001379	{memo X}{@sti6}Storing and taking items from storage costs %s silver...{/}
UI_20150323_001380	{memo X}{@st59}Alt+Z to change weapons{/}
UI_20150323_001381	{@st59}保存小屋設定{/}
UI_20150323_001382	小屋裝修
UI_20150323_001383	{@st59}關閉小屋裝修
UI_20150323_001384	{memo X}{@st59}Change Lodge{nl} - Change the map and expand the number of available characters by changing your Lodge. 
UI_20150323_001385	{memo X}{@st41}Cancel Preview
UI_20150323_001386	{memo X}{@st46}My iCoins : %s{/}
UI_20150323_001387	{memo X}{@st41b}Change Lodge{/}
UI_20150323_001388	{@st59}小屋裝修{/}
UI_20150323_001389	{memo X}{@st41b}Lodge Settings{/}
UI_20150323_001390	{@st59}更改小屋設定{/}
UI_20150323_001391	{memo X}{@st45ty}Character Greeting{/}
UI_20150323_001392	{memo X}{@st45ty}Buy-in Shop
UI_20150323_001393	{@st41b}編輯
UI_20150323_001394	{@st59}更改角色問候語{/}
UI_20150323_001395	{@st59}委託商店設定{/}
UI_20150323_001396	售出量：%s{/}
UI_20150323_001397	搜尋購買道具
UI_20150323_001398	售出量
UI_20150323_001399	單價
UI_20150323_001400	{memo X}{@sti5}×%s{/}
UI_20150323_001401	{@st41}食用
UI_20150323_001402	{@st41}製作
UI_20150323_001403	{memo X}{@st41}Quantity
UI_20150323_001404	{memo X}{@st41}Consumable Material
UI_20150401_001405	{@st59}Close Briquetting{/}
UI_20150401_001406	{memo X}{@st41}Remove Base Camp
UI_20150401_001407	{@st43}[%s 階]{/}
UI_20150401_001408	{@st43}技能{/}
UI_20150401_001409	{@st43}職業介紹{/}
UI_20150401_001410	職業提示
UI_20150401_001411	{memo X}{@st42}{#ffff00}Lock Target {/}
UI_20150401_001412	{memo X}{@st41}Remove Table
UI_20150401_001413	{@st43}Tincturing{/}
UI_20150401_001414	手把快捷欄
UI_20150401_001415	{memo X}{@st42}{#ffff00}Keyboard Mode{/}
UI_20150401_001416	{@st43}Open Offering Box
UI_20150401_001417	{@st41b}Open
UI_20150401_001418	{@st41b}Offering Box
UI_20150401_001419	{@st41}Offering Box Name
UI_20150401_001420	支付
UI_20150401_001421	Estimated Profit
UI_20150401_001422	Funds
UI_20150401_001423	{memo X}{@st45tw}Offering Box Item Details
UI_20150401_001424	{@st41}Sell All
UI_20150401_001425	{@st43}Offering Box
UI_20150401_001426	Offer
UI_20150401_001427	交易結算
UI_20150401_001428	預計餘額
UI_20150401_001429	{@st45tw}Offering Box
UI_20150401_001430	{memo X}{@st41}Empty
UI_20150401_001431	{@st43}Current zone user list{/}
UI_20150401_001432	{@st59}Close GM UI list{/}
UI_20150401_001433	{memo X}{@st41}Party Description :
UI_20150401_001434	{s20}Amount of Poison {s28}{b}{#ff6600}%s
UI_20150401_001435	Materials for Poison
UI_20150401_001436	{@st41b}全選{/}
UI_20150401_001437	{@st59}再點一次取消全選{/}
UI_20150401_001438	{@st41b}製作{/}
UI_20150401_001439	{memo X}{@st59}Mix mix turn and mix{/}
UI_20150401_001440	{@st41b}成就{/}
UI_20150401_001441	染髮劑
UI_20150401_001442	稱號
UI_20150401_001443	{memo X}{@st41b}Joystick UI mode{/}
UI_20150401_001444	{memo X}{@st41}{#ffffcc}Name
UI_20150401_001445	{memo X}{@st41}{#ffffcc}Price
UI_20150401_001446	{memo X}{@st41}{#ffffcc}Status
UI_20150401_001447	{memo X}{@st41b}Cancel Preview
UI_20150401_001448	{memo X}{@st41}{#ffff00}My iCoins : %s{/}
UI_20150401_001449	裝備中
UI_20150401_001450	{memo X}Description : {#FFFF00}%s{/}
UI_20150401_001451	{memo X}Average Level : {#FFFF00}%s{/}
UI_20150401_001452	{memo X}Conditions
UI_20150401_001453	稱號 %s
UI_20150401_001454	獲得 %s
UI_20150401_001455	{memo X}{@st42}Amount
UI_20150406_001456	{@st43}基地
UI_20150406_001457	{@st42}Construct
UI_20150406_001458	{@st42}取消
UI_20150406_001459	{memo X}{@stc1}Camp Duration
UI_20150406_001460	{@st41b}基地
UI_20150406_001461	{memo X}{@st41b}Camp Duration
UI_20150406_001462	{memo X}{@st42b}A base camp lasts for an additional 24 hours when renewed. {nl}%s silver is consumed.
UI_20150406_001463	{memo X}{@st41}Remove Camp
UI_20150406_001464	{memo X}{@st42}Remove Table
UI_20150406_001465	{@st59b}Grimoire{nl}{@st59s} - Place a card on the deck to start summoning{/}
UI_20150406_001466	{memo X}{@st41}My Summon Skill
UI_20150406_001467	{memo X}{@st41}Stat
UI_20150406_001468	{@st41b}Offerings Box Name
UI_20150406_001469	{@st41b}Details of item offering
UI_20150406_001470	{@st59}關閉委託商店
UI_20150406_001471	{@st59b}委託商店{nl}{@st59s} - 用銀幣交易物品
UI_20150406_001472	{@st41b}需要收購的道具{/}
UI_20150406_001473	{@st41b}登記出售的道具{/}
UI_20150406_001474	{@st41b}總收入
UI_20150406_001475	{@st41b}出售
UI_20150406_001476	{@st59}出售登記的道具{/}
UI_20150406_001477	{@st59}關閉個人倉庫{/}
UI_20150406_001478	{memo X}{@st41b} %s silver is consumed when storing and taking items from storage.{/}
UI_20150406_001479	{@st41b}數量
UI_20150414_001480	{memo X}{@st42b}The duration of your camp can be increased.{nl} Cost: %s silver.
UI_20150414_001481	{memo X}{@st41b}Type {@sti7}%s{/}
UI_20150414_001482	{memo X}{@st41b}Control Difficulty {@sti7}%s{/}
UI_20150414_001483	{@st59b} 道具 {/}
UI_20150414_001484	{@st59b} 魔物 {/}
UI_20150414_001485	{@st59b} 地圖移動 {/}
UI_20150414_001486	{@st59b} 戰鬥指令 {/}
UI_20150414_001487	{s26}{b}個
UI_20150414_001488	{s26}{b}等級
UI_20150414_001489	{@st44}{s26}等級
UI_20150414_001490	{@st59b}{s26}個
UI_20150414_001491	{@st41b}烹飪
UI_20150414_001492	{@st41b}食物
UI_20150414_001493	{memo X}{@st42}Remove Refreshment Table
UI_20150414_001494	{@st41b}Records{/}
UI_20150414_001495	{memo X}{@st41}Party Description
UI_20150414_001496	{memo X}{@st41b}Enter{/}
UI_20150414_001497	Roasting Level %s
UI_20150428_001498	{@st43}Buy-in Shop{/}
UI_20150428_001499	{@st41b}Close
UI_20150428_001500	{@st41b}回報BUG
UI_20150428_001501	{@st59}Notify us about bugs and issues{/}
UI_20150428_001502	When you report a bug, your gameplay up to that point will be sent to our server.{nl}The replay file will be of much help in resolving the bug. Do you want to send it?
UI_20150428_001503	{@st41b}Bug description :{/}
UI_20150428_001504	{@st41b}Entering a description is not mandatory, but it will help us a lot in analyzing the bug.
UI_20150428_001505	{@st41b}Send
UI_20150428_001506	{@st42}{s14}{#ffff00}鎖定目標{/}
UI_20150428_001507	{@st59}不論距離或方向，都能鎖定你的目標。
UI_20150428_001508	找到隊伍！
UI_20150428_001509	手把快捷欄(休息模式)
UI_20150428_001510	{@st41b}休息模式
UI_20150428_001511	手把教學
UI_20150428_001512	{memo X}{@st59}Close Joypad Tutorial(M){/}
UI_20150428_001513	鍵盤教學
UI_20150428_001514	{@st44}登出{/}
UI_20150428_001515	{memo X}{@st41b}Leave Helper(Requires %s iCoin){/}
UI_20150428_001516	{memo X}Socket Addition Cost : {#ff9933}%s{/}{nl}Gem Removal Cost : {#ff9933}%s{/}
UI_20150428_001517	{memo X}{@st41b}Remove Gem
UI_20150428_001518	{@st42}{s14}{#ffff00}介面模式{/}
UI_20150428_001519	{@st59}使用鍵盤或手把控制UI
UI_20150428_001520	{memo X}Use Search Party 
UI_20150428_001521	{memo X}When a character matching your party conditions is found {nl}[Party match found!] notice will be shown.
UI_20150428_001522	{memo X}{@st41}Play Style{/}
UI_20150428_001523	任務進行
UI_20150428_001524	狩獵中心
UI_20150428_001525	活動進行
UI_20150428_001526	{memo X}{@st41}Level Difference{/}
UI_20150428_001527	{memo X}Not related
UI_20150428_001528	{memo X}{@st41}Desired Class Type{/}
UI_20150428_001529	{@st41b}退出組隊
UI_20150428_001530	{memo X}{@st59}Search by party description{/}
UI_20150428_001531	{s18}{ol}{gr gradation1}Helper Rules{/}
UI_20150428_001532	{@st59}繼續製作{/}
UI_20150428_001533	{memo X}{@st45ty}Hairstyle Color
UI_20150428_001534	{memo X}{@st45ty}Available Title
UI_20150428_001535	{@st41_yellow}小幫手技能
UI_20150428_001536	{memo X}{@st41b}Show other character names{/}
UI_20150428_001537	{@st43}操作模式{/}
UI_20150428_001538	{memo X}{@st41b}Auto{/}
UI_20150428_001539	{memo X}{@st41b}Joypad{/}
UI_20150428_001540	{memo X}{@st41b}Keyboard{/}
UI_20150428_001541	{memo X}Joypad
UI_20150428_001542	{@st59}手把指南{/}
UI_20150428_001543	{memo X}Keyboard
UI_20150428_001544	{@st59}鍵盤指南{/}
UI_20150428_001545	{@st43}繪圖設定{/}
UI_20150428_001546	{@st43}性能{/}
UI_20150428_001547	{memo X}{@st41b}Low-spec Mode{/}
UI_20150428_001548	{memo X}{@st41b}Auto Adjustment{/}
UI_20150428_001549	{memo X}{@st41b}Don't use{/}
UI_20150428_001550	遊戲FAQ
UI_20150428_001551	玩家：(%s/%s)
UI_20150428_001552	至少100級：(%s/%s)
UI_20150511_001553	{memo X}{@st41}Link Party Invite
UI_20150714_001554	{@st66b}物品售出：×%s / 物品未售出：×%s{/}
UI_20150714_001555	{@st41b}交易紀錄
UI_20150714_001556	{@st41b}拆除營地
UI_20150714_001557	卡片戰鬥
UI_20150714_001558	{@st64}%s勝) {/}
UI_20150714_001559	選擇卡片
UI_20150714_001560	冒險指數：{#ffff00} %s{/} ({#ffff00}#%s{/}名)
UI_20150714_001561	{@st66b}讚！
UI_20150714_001562	{memo X}I like this character {#ffff00}%s{/}
UI_20150714_001563	{@st41b}Remove Refreshment Table
UI_20150714_001564	{memo X}{@st42}My Summon Skill
UI_20150714_001565	{@st42}統計
UI_20150714_001566	{memo X}{@st42}Current Location : %s{/}
UI_20150714_001567	{@st59b}裝備 {nl}{@st59s} - 髮型/服裝: 裝備以改變人物外觀 {nl} - 武器：單手或雙手武器。{nl} (副武器/盾可以搭配一個單手武器) {nl} - 防具：上衣, 下裝, 手套和鞋。{nl} - 配件：1個項鍊 和 2個手鐲。{nl} {/}
UI_20150714_001568	{@st43}開啟 %s 商店
UI_20150714_001569	{@st41b}烘焙{/}
UI_20150714_001570	{@st66}全選
UI_20150714_001571	{@st43}製作箭矢{/}
UI_20150714_001572	{@st59}關閉介面{/}
UI_20150714_001573	{@st66b}確認{/}
UI_20150714_001574	{@st66b}Leave Helper(需要 %s iCoin){/}
UI_20150714_001575	增加插槽費用：{#000000}%s{/} {nl}拔除寶石費用：{#000000}%s{/}
UI_20150714_001576	{ds}建議等級：%s
UI_20150714_001577	探索率：50.0%
UI_20150714_001578	{@st45tw}[探索率 %s%]{/}
UI_20150714_001579	>>檢視更多資訊...
UI_20150714_001580	%s (%s 排名)
UI_20150714_001581	職業名稱
UI_20150714_001582	{@st41b}邀請
UI_20150714_001583	{@st41}你可以在遊戲設定中選擇使用手把或滑鼠操作。{nl}
UI_20150714_001584	{memo X}When you meet a character matching your party conditions, {nl}[Party match found!] notice will be shown.{nl}You will also be recommended to other parties.
UI_20150714_001585	{memo X}{@st42}Play Style{/}
UI_20150714_001586	{@st42}等級差異{/}
UI_20150714_001587	任意
UI_20150714_001588	{memo X}{@st42}Class Type{/}
UI_20150714_001589	{memo X}{@st42}Party Name : %s{/}
UI_20150714_001590	{memo X}{@st42}Description{/}
UI_20150714_001591	{memo X}{@st42}Enter{/}
UI_20150714_001592	{@st42}物品分配規則
UI_20150714_001593	{@st42}經驗分配規則
UI_20150714_001594	獨立分配
UI_20150714_001595	平均分配
UI_20150714_001596	按等級分配
UI_20150714_001597	{@st42}任務共用
UI_20150714_001598	不顯示
UI_20150714_001599	{@st42}公開組隊{/}
UI_20150714_001600	{memo X}Level
UI_20150714_001601	{@st42}使用組隊隊友推薦{/}
UI_20150714_001602	距離
UI_20150714_001603	職業
UI_20150714_001604	等級
UI_20150714_001605	目前任務
UI_20150714_001606	親密關係
UI_20150714_001607	{memo X}{@st42}Share Party Invite Link
UI_20150714_001608	>>隊伍預覽...
UI_20150714_001609	隊伍名稱：%s
UI_20150714_001610	隊伍說明 : %s
UI_20150714_001611	建隊時間：%s 前
UI_20150714_001612	隊伍人數 : %s/5
UI_20150714_001613	加入
UI_20150714_001614	{@st59}使用隊伍名稱或說明來搜尋{/}
UI_20150714_001615	簡單的說明內容
UI_20150714_001616	{@st43}信箱
UI_20150714_001617	{@st41b}全部
UI_20150714_001618	{@st41b}未讀訊息
UI_20150714_001619	{memo X}{@st43}{s22}Choose a character to receive the items.{/}
UI_20150714_001620	{@st41b}強化
UI_20150714_001621	{@st66}需要修理的道具
UI_20150714_001622	{@st43}西蒙尼
UI_20150714_001623	{@st59}提高技能{/}
UI_20150714_001624	{@st59}關閉技能視窗{/}
UI_20150714_001625	{@st43}技能和特性{/}
UI_20150714_001626	可分配的素質點數 {nl}{@st46}%s
UI_20150714_001627	按讚數：%s次
UI_20150714_001628	{memo X}{@st66b}Show EXP acquired{/}
UI_20150714_001629	{@st66b}顯示角色名字{/}
UI_20150714_001630	{@st66b}僅顯示小屋名{/}
UI_20150714_001631	{@st66b}顯示其他玩家名字{/}
UI_20150714_001632	{@st66b}自動{/}
UI_20150714_001633	{@st66b}手把{/}
UI_20150714_001634	{@st66b}鍵盤{/}
UI_20150714_001635	{@st66b}滑鼠
UI_20150714_001636	{@st66b}全螢幕{/}
UI_20150714_001637	{@st66b}視窗化{/}
UI_20150714_001638	{@st66b}效果音量 (%s){/}
UI_20150714_001639	{@st66b}背景音量 (%s){/}
UI_20150714_001640	{@st66b}總音量 (%s){/}
UI_20150714_001641	{@st66b}低配模式{/}
UI_20150714_001642	{@st66b}自動調整{/}
UI_20150714_001643	{@st66b}禁用{/}
UI_20150714_001644	{@st66b}Bloom{/}
UI_20150714_001645	{@st66b}Vignette{/}
UI_20150714_001646	{@st66b}FXAA{/}
UI_20150714_001647	{@st66b}Glow{/}
UI_20150714_001648	{@st66b}景深{/}
UI_20150714_001649	{@st66b}Soft Particle{/}
UI_20150714_001650	{@st66b}高級紋理{/}
UI_20150714_001651	{@st66b}開啟垂直同步{/}
UI_20150714_001652	{@st66b}關閉垂直同步{/}
UI_20150714_001653	{@st66b}每次存放和提取都需 %s銀幣的手續費。{/}
UI_20150714_001654	%s對我按讚
UI_20150714_001655	{@st41}觀戰
UI_20150714_001656	{@st66b}離開觀戰模式
UI_20150714_001657	{memo X}Found a game. Do you want to join?
UI_20150714_001658	{memo X}{@st41}Join
UI_20150714_001659	{@st41}拒絕
UI_20150714_001660	比賽結束
